method,family,seed,split,point_id,projector_error,e1_abs_error,e2_abs_error,trace_abs_error,residual_rms,orthogonality_error,hermiticity_defect_raw,internal_gap,external_gap,trial_rank,route,tail_ratio,latency_ms
sc_narr,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.026878320362871074,0.0026544034481048584,0.001726776361465454,0.0043811798095703125,0.061980389058589935,1.4872937237342398e-07,6.268120955610357e-08,0.0014360302860300656,0.40629712326151723,21,not_applicable,nan,102.98777557909489
sc_hybrid25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.013086385477710665,0.0005438625812530518,0.0007295906543731689,0.0012734532356262207,0.036729007959365845,9.531060563006122e-08,9.67515774163985e-08,0.0014360302860300656,0.40629712326151723,25,not_applicable,nan,130.03995642066002
sr_routed25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.012214979808713377,0.000576406717300415,0.0005317926406860352,0.0011081993579864502,0.033901285380125046,1.3513482688409795e-07,7.506530863565786e-08,0.0014360302860300656,0.40629712326151723,25,fourier,3.6273308440032057e-14,152.493167668581
fourier_shell2,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.05083580984242725,0.005425214767456055,0.006542563438415527,0.011967778205871582,0.09313053637742996,2.738817395098181e-08,6.714128630846972e-08,0.0014360302860300656,0.40629712326151723,19,not_applicable,nan,58.492813259363174
kinetic_fourier21,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.01822528971415187,0.00111311674118042,0.0011183321475982666,0.0022314488887786865,0.04515528306365013,1.2998907994443698e-07,5.5758349049028766e-08,0.0014360302860300656,0.40629712326151723,21,not_applicable,nan,71.16673700511456
kinetic_fourier25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.012214979808713377,0.000576406717300415,0.0005317926406860352,0.0011081993579864502,0.033901285380125046,1.3513482688409795e-07,7.506530863565786e-08,0.0014360302860300656,0.40629712326151723,25,not_applicable,nan,98.94303232431412
fourier_shell3,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-006,0.004831780221031261,9.509921073913574e-05,0.00013512372970581055,0.0002302229404449463,0.017412852495908737,5.528087299033757e-08,1.947759109555136e-08,0.0014360302860300656,0.40629712326151723,37,not_applicable,nan,215.50839580595493
dai_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.25311385836603467,0.018107710406184196,0.0772680938243866,0.09537580609321594,0.21736887097358704,1.2813178273951564e-07,0.002253267914056778,0.0007346457113114081,0.26131404262711067,6,not_applicable,nan,129.79899160563946
long_anchor,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.08830656866312561,0.005298389121890068,0.0078019737266004086,0.013100363314151764,0.06352134048938751,1.1644015762701798e-07,2.4352973468921846e-06,0.0007346457113114081,0.26131404262711067,2,not_applicable,nan,1.2338124215602875
sc_narr_shell1,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.03240909141197014,0.0016075382009148598,0.0013598832301795483,0.002967421431094408,0.03690081089735031,5.841556471875009e-08,1.8409609765512869e-06,0.0007346457113114081,0.26131404262711067,9,not_applicable,nan,46.825531870126724
sc_narr,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.006949839095534187,0.00018233805894851685,9.544845670461655e-05,0.0002777865156531334,0.01471541728824377,7.640105859074708e-08,1.189496174447413e-06,0.0007346457113114081,0.26131404262711067,21,not_applicable,nan,99.90624524652958
sc_hybrid25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.003039198319065787,3.223679959774017e-05,3.0154362320899963e-05,6.239116191864014e-05,0.007525026798248291,7.227828557887506e-08,1.1995665545327938e-06,0.0007346457113114081,0.26131404262711067,25,not_applicable,nan,128.17933596670628
sr_routed25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.0026937603452405353,5.799345672130585e-06,4.218239337205887e-05,4.798173904418945e-05,0.0063696871511638165,1.1491207829728012e-07,9.308047879130754e-07,0.0007346457113114081,0.26131404262711067,25,fourier,3.887953056291166e-14,152.08925493061543
fourier_shell2,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.013520682015861162,0.0003614639863371849,0.0004741251468658447,0.0008355891332030296,0.02297954261302948,6.42871849088067e-08,4.0863511685529375e-07,0.0007346457113114081,0.26131404262711067,19,not_applicable,nan,58.700332418084145
kinetic_fourier21,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.0044856407046152845,6.334669888019562e-05,6.316881626844406e-05,0.00012651551514863968,0.01005373615771532,9.088368169152261e-08,1.031248416438757e-06,0.0007346457113114081,0.26131404262711067,21,not_applicable,nan,72.34426401555538
kinetic_fourier25,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.0026937603452405353,5.799345672130585e-06,4.218239337205887e-05,4.798173904418945e-05,0.0063696871511638165,1.1491207829728012e-07,9.308047879130754e-07,0.0007346457113114081,0.26131404262711067,25,not_applicable,nan,98.99250417947769
fourier_shell3,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.0006334150788859886,1.3941898941993713e-06,2.1336600184440613e-06,3.5278499126434326e-06,0.0020553390495479107,6.945098229849123e-08,1.3129806575307157e-06,0.0007346457113114081,0.26131404262711067,37,not_applicable,nan,213.56787718832493
wang_xie_adapted,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-007,0.07123967464616725,0.004256074316799641,0.004539196845144033,0.008795270696282387,0.052633821964263916,3.418607796845663e-08,1.5036891909403494e-06,0.0007346457113114081,0.26131404262711067,2,not_applicable,nan,1.0760724544525146
long_anchor,harmonic_honeycomb,137,near_cluster,v3-confirm-harmonic_honeycomb-near-008,0.07772457814488393,0.008293181657791138,0.010040581226348877,0.018333762884140015,0.09357179701328278,8.939624351889108e-08,4.901362160580902e-08,0.0041861658160083914,0.39195253435925753,2,not_applicable,nan,1.2493506073951721
